ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT;STATUS
1977;CAMPO DO CONFISCO;PARQUE DO CONFISCO;CAMPO DE FUTEBOL;RUA;CECILIA MAGALHAES GOMES;126.0;;CONFISCO; ;POINT (602796.04 7803140.16);FPMZB-SMMA;ATIVO
3232;QUADRA DA PRAÇA MARABU;;QUADRA RECREATIVA;RUA;SAO JOSE DE ARIMATEIA;38.0;;BOA VISTA; ;POINT (604578.38 7788605.51);SMEL;ATIVO
1871;QUADRA DO CONJUNTO SANTA MARIA;;QUADRA DE FUTSAL;RUA;GENTIOS;1525.0;;CONJUNTO SANTA MARIA; ;POINT (608747.57 7793613.82);SMED;ATIVO
1872;CAMPO DO CONJUNTO SANTA MARIA;;CAMPO DE FUTEBOL;RUA;GENTIOS;1525.0;;CONJUNTO SANTA MARIA; ;POINT (608789.04 7793581.13);SMED;ATIVO
1220;QUADRA DA RUA GASTÃO DA CUNHA;;QUADRA DE FUTSAL;RUA;GASTAO DA CUNHA;199.0;;SÃO JORGE II; ;POINT (608675.25 7794672.47);SMEL;ATIVO
1802;QUADRA DO CENTRO ESPORTIVO JOSÉ ESTEVAM - TEVINHO ;CENTRO ESPORTIVO BAIRRO MILIONÁRIOS;QUADRA POLIESPORTIVA;RUA;DAVID FONSECA;1386.0;;MILIONÁRIOS; ;POINT (604440.84 7790117.44);SMEL;ATIVO
1808;QUADRA DO CENTRO ESPORTIVO JOSÉ ESTEVAM - TEVINHO ;CENTRO ESPORTIVO BAIRRO MILIONÁRIOS;QUADRA POLIESPORTIVA;RUA;DAVID FONSECA;1386.0;;MILIONÁRIOS; ;POINT (604455.00 7790089.13);SMEL;ATIVO
1241;CAMPO DO CENTRO ESPORTIVO JOSÉ ESTEVAM - TEVINHO;CAMPO DO CENTRO ESPORTIVO BAIRRO MILIONÁRIOS;CAMPO DE FUTEBOL;RUA;DAVID FONSECA;1386.0;;MILIONÁRIOS; ;POINT (604484.25 7790124.88);SMEL;ATIVO
1713;CENTRO ESPORTIVO JOSÉ ESTEVAM - TEVINHO;ACADEMIA DO CENTRO ESPORTIVO BAIRRO MILIONÁRIOS;ACADEMIA A CÉU ABERTO;RUA;DAVID FONSECA;1386.0;;MILIONÁRIOS; ;POINT (604471.0 7790067.0);SMEL;ATIVO
1817;QUADRA DO PARQUE ECOLÓGICO PADRE ALFREDO SABETTA;PARQUE TEIXEIRA DIAS;QUADRA POLIESPORTIVA;RUA;ANTONIO TEIXEIRA DIAS;1001.0;;TEIXEIRA DIAS; ;POINT (602486.96 7790079.64);FPMZB-SMMA;ATIVO
